City_name,Nb_warehouses,Nb_customers
Ville_0001,0,0
Ville_0002,2,3
Ville_0003,2,3
Ville_0004,1,0
Ville_0005,2,3
Ville_0006,2,1
Ville_0007,0,1
Ville_0008,0,1
Ville_0009,0,1
Ville_0010,0,0
Ville_0011,3,1
Ville_0012,0,2
Ville_0013,1,1
Ville_0014,1,0
Ville_0015,2,3
Ville_0016,1,1
Ville_0017,0,1
Ville_0018,3,0
Ville_0019,1,2
Ville_0020,1,3
Ville_0021,0,1
Ville_0022,0,0
Ville_0023,3,1
Ville_0024,2,2
Ville_0025,3,3
Ville_0026,3,2
Ville_0027,1,1
Ville_0028,0,0
Ville_0029,3,2
Ville_0030,1,3
Ville_0031,0,2
Ville_0032,2,1
Ville_0033,0,2
Ville_0034,1,2
Ville_0035,2,0
Ville_0036,0,3
Ville_0037,2,1
Ville_0038,3,0
Ville_0039,1,1
Ville_0040,0,2
Ville_0041,0,0
Ville_0042,3,3
Ville_0043,2,2
Ville_0044,0,1
Ville_0045,0,0
Ville_0046,2,3
Ville_0047,0,2
Ville_0048,2,2
Ville_0049,1,0
Ville_0050,3,1
Ville_0051,0,1
Ville_0052,1,1
Ville_0053,1,0
Ville_0054,2,1
Ville_0055,2,1
Ville_0056,3,3
Ville_0057,0,2
Ville_0058,2,0
Ville_0059,3,2
Ville_0060,3,3
Ville_0061,0,3
Ville_0062,2,3
Ville_0063,2,0
Ville_0064,1,3
Ville_0065,2,3
Ville_0066,3,3
Ville_0067,2,0
Ville_0068,1,0
Ville_0069,1,2
Ville_0070,3,0
Ville_0071,1,1
Ville_0072,0,0
Ville_0073,0,2
Ville_0074,0,0
Ville_0075,2,2
Ville_0076,0,2
Ville_0077,2,2
Ville_0078,0,2
Ville_0079,1,0
Ville_0080,0,2
Ville_0081,1,2
Ville_0082,1,1
Ville_0083,1,0
Ville_0084,3,0
Ville_0085,2,3
Ville_0086,3,0
Ville_0087,1,1
Ville_0088,1,1
Ville_0089,1,1
Ville_0090,2,3
Ville_0091,2,3
Ville_0092,1,0
Ville_0093,3,0
Ville_0094,2,2
Ville_0095,2,0
Ville_0096,2,2
Ville_0097,2,3
Ville_0098,1,0
Ville_0099,1,1
Ville_0100,3,0
