Category,Object
Flammable,Objet_00285
Radioactive,Objet_00972
Radioactive,Objet_00673
Food,Objet_01089
Fragile,Objet_00785
Oxidizing,Objet_01187
Food,Objet_00326
Fragile,Objet_00594
Toxic,Objet_00328
Corrosive,Objet_00864
Food,Objet_00570
Pressurized,Objet_01107
Oxidizing,Objet_00189
Toxic,Objet_00608
Radioactive,Objet_00436
Unspecified,Objet_00568
Oxidizing,Objet_00857
Food,Objet_00151
Oxidizing,Objet_00411
Unspecified,Objet_00426
Flammable,Objet_00878
Fragile,Objet_00070
Explosive,Objet_00211
Flammable,Objet_00299
Unspecified,Objet_01036
Oxidizing,Objet_00471
Oxidizing,Objet_00994
Radioactive,Objet_00900
Unspecified,Objet_01335
Explosive,Objet_00767
Pressurized,Objet_01127
Food,Objet_00493
Toxic,Objet_01215
Pressurized,Objet_00113
Explosive,Objet_00488
Fragile,Objet_01071
Food,Objet_00679
Food,Objet_01383
Radioactive,Objet_00296
Radioactive,Objet_00096
Fragile,Objet_00499
Unspecified,Objet_00466
Flammable,Objet_01179
Flammable,Objet_00685
Corrosive,Objet_00160
Flammable,Objet_00720
Radioactive,Objet_00455
Toxic,Objet_00688
Explosive,Objet_00447
Toxic,Objet_01307
Fragile,Objet_00644
Oxidizing,Objet_01300
Food,Objet_01114
Corrosive,Objet_00212
Explosive,Objet_00707
Radioactive,Objet_00782
Oxidizing,Objet_01189
Toxic,Objet_00741
Fragile,Objet_00666
Pressurized,Objet_00922
Toxic,Objet_00572
Fragile,Objet_00758
Corrosive,Objet_01209
Pressurized,Objet_00605
Corrosive,Objet_00181
Toxic,Objet_00899
Radioactive,Objet_01442
Food,Objet_01296
Unspecified,Objet_01394
Oxidizing,Objet_00618
Food,Objet_00697
Corrosive,Objet_01143
Unspecified,Objet_00038
Food,Objet_00208
Pressurized,Objet_01430
Toxic,Objet_01138
Fragile,Objet_00080
Fragile,Objet_00472
Toxic,Objet_00099
Unspecified,Objet_00734
Flammable,Objet_01399
Oxidizing,Objet_01284
Fragile,Objet_00597
Flammable,Objet_00610
Toxic,Objet_00587
Flammable,Objet_00079
Oxidizing,Objet_00682
Unspecified,Objet_00807
Oxidizing,Objet_00557
Explosive,Objet_00964
Explosive,Objet_00983
Corrosive,Objet_00976
Unspecified,Objet_01008
Oxidizing,Objet_01269
Toxic,Objet_00662
Food,Objet_01385
Explosive,Objet_00828
Pressurized,Objet_00392
Radioactive,Objet_00869
Food,Objet_00621
Oxidizing,Objet_00275
Fragile,Objet_01132
Oxidizing,Objet_00247
Explosive,Objet_01250
Unspecified,Objet_00728
Oxidizing,Objet_01181
Unspecified,Objet_00240
Fragile,Objet_01108
Food,Objet_00737
Explosive,Objet_00863
Fragile,Objet_00565
Food,Objet_00355
Radioactive,Objet_00681
Pressurized,Objet_00793
Explosive,Objet_00094
Flammable,Objet_01024
Pressurized,Objet_00461
Food,Objet_00776
Oxidizing,Objet_00546
Explosive,Objet_00885
Fragile,Objet_01224
Pressurized,Objet_00093
Explosive,Objet_00973
Unspecified,Objet_00123
Unspecified,Objet_00176
Food,Objet_01068
Fragile,Objet_00306
Radioactive,Objet_00791
Explosive,Objet_00105
Pressurized,Objet_01346
Corrosive,Objet_00085
Flammable,Objet_00297
Explosive,Objet_00816
Flammable,Objet_00495
Food,Objet_00453
Corrosive,Objet_00732
Flammable,Objet_00540
Flammable,Objet_00391
Corrosive,Objet_00196
Fragile,Objet_00026
Flammable,Objet_00520
Food,Objet_00048
Food,Objet_00147
Pressurized,Objet_00173
Oxidizing,Objet_00888
Fragile,Objet_00839
Unspecified,Objet_00580
Oxidizing,Objet_00766
Fragile,Objet_00748
Toxic,Objet_01325
Unspecified,Objet_00577
Oxidizing,Objet_00913
Food,Objet_00606
Oxidizing,Objet_00006
Radioactive,Objet_00647
Unspecified,Objet_00009
Flammable,Objet_00307
Radioactive,Objet_00898
Corrosive,Objet_00837
Flammable,Objet_01090
Flammable,Objet_00676
Food,Objet_00902
Unspecified,Objet_01446
Toxic,Objet_01019
Corrosive,Objet_00141
Corrosive,Objet_01379
Flammable,Objet_00469
Fragile,Objet_00716
Flammable,Objet_00684
Corrosive,Objet_01079
Toxic,Objet_01386
Unspecified,Objet_00552
Explosive,Objet_00088
Food,Objet_01460
