Category,Object
Food,Object_01721
Food,Object_09067
Toxic,Object_04871
Corrosive,Object_05292
Food,Object_02177
Food,Object_11586
Toxic,Object_10706
Oxidizing,Object_13804
Toxic,Object_11290
Food,Object_02563
Corrosive,Object_01181
Corrosive,Object_05099
Explosive,Object_11757
Fragile,Object_04364
Food,Object_06845
Explosive,Object_11011
Toxic,Object_05345
Food,Object_11817
Pressurized,Object_07991
Pressurized,Object_12597
Unspecified,Object_09334
Fragile,Object_12005
Oxidizing,Object_11721
Food,Object_09255
Fragile,Object_06336
Radioactive,Object_00455
Pressurized,Object_04237
Radioactive,Object_09181
Corrosive,Object_11179
Toxic,Object_03097
Corrosive,Object_13069
Corrosive,Object_14498
Oxidizing,Object_02600
Food,Object_15078
Unspecified,Object_14475
Radioactive,Object_13192
Corrosive,Object_11158
Radioactive,Object_01607
Explosive,Object_08985
Toxic,Object_00112
Pressurized,Object_10599
Pressurized,Object_01375
Fragile,Object_13366
Unspecified,Object_07568
Fragile,Object_00546
Oxidizing,Object_07113
Corrosive,Object_13601
Unspecified,Object_00473
Pressurized,Object_05672
Food,Object_02110
Corrosive,Object_07782
Oxidizing,Object_02766
Explosive,Object_12310
Unspecified,Object_06389
Radioactive,Object_07500
Oxidizing,Object_10905
Oxidizing,Object_03618
Fragile,Object_12944
Pressurized,Object_13768
Pressurized,Object_01781
Pressurized,Object_09023
Pressurized,Object_06134
Food,Object_13573
Unspecified,Object_04858
Corrosive,Object_06409
Flammable,Object_14665
Unspecified,Object_11151
Corrosive,Object_11547
Fragile,Object_03070
Fragile,Object_04072
Radioactive,Object_05481
Flammable,Object_05064
Fragile,Object_02492
Unspecified,Object_02460
Pressurized,Object_13439
Food,Object_01622
Toxic,Object_02138
Food,Object_01955
Explosive,Object_07062
Radioactive,Object_14663
Fragile,Object_05622
Oxidizing,Object_00454
Flammable,Object_13231
Fragile,Object_06809
Food,Object_00734
Flammable,Object_07602
Unspecified,Object_10853
Flammable,Object_05017
Oxidizing,Object_10297
Pressurized,Object_09228
Pressurized,Object_08544
Pressurized,Object_04691
Explosive,Object_14516
Flammable,Object_02070
Pressurized,Object_13211
Explosive,Object_02395
Food,Object_07517
Radioactive,Object_00739
Fragile,Object_08099
Radioactive,Object_06595
Fragile,Object_03770
Pressurized,Object_07490
Radioactive,Object_07550
Explosive,Object_15123
Oxidizing,Object_05281
Explosive,Object_04118
Flammable,Object_13995
Unspecified,Object_00333
Fragile,Object_05453
Unspecified,Object_14448
Unspecified,Object_04606
Oxidizing,Object_00865
Flammable,Object_11237
Toxic,Object_02643
Explosive,Object_06703
Explosive,Object_08968
Toxic,Object_10634
Flammable,Object_11247
Fragile,Object_08106
Unspecified,Object_05685
Food,Object_08210
Toxic,Object_04443
Unspecified,Object_00303
Radioactive,Object_02069
Oxidizing,Object_02789
Pressurized,Object_08686
Corrosive,Object_08716
Toxic,Object_08917
Radioactive,Object_11597
Unspecified,Object_05480
Corrosive,Object_05025
Oxidizing,Object_03357
Radioactive,Object_01764
Radioactive,Object_04483
Food,Object_00792
Radioactive,Object_10379
Toxic,Object_10371
Pressurized,Object_07329
Flammable,Object_03745
Food,Object_09556
Oxidizing,Object_14241
Oxidizing,Object_09211
Food,Object_09580
Explosive,Object_03160
Fragile,Object_06263
Fragile,Object_01149
Toxic,Object_10231
Oxidizing,Object_12929
Corrosive,Object_08750
Corrosive,Object_00390
Toxic,Object_14722
Food,Object_14724
Radioactive,Object_09773
Toxic,Object_01096
Pressurized,Object_00533
Pressurized,Object_05953
Unspecified,Object_07442
Food,Object_08630
