Start_city,End_city,Distance
Ville_0648,Ville_0356,2351
Ville_0356,Ville_0548,337
Ville_0548,Ville_0495,773
Ville_0495,Ville_0108,1366
Ville_0108,Ville_0350,533
Ville_0350,Ville_0830,2797
Ville_0830,Ville_0114,2438
Ville_0114,Ville_0950,519
Ville_0950,Ville_0210,1239
Ville_0210,Ville_0098,1712
Ville_0098,Ville_0081,2319
Ville_0081,Ville_0247,2829
Ville_0247,Ville_0318,2317
Ville_0318,Ville_0742,1359
Ville_0742,Ville_0437,2913
Ville_0437,Ville_0375,267
Ville_0375,Ville_0365,1952
Ville_0365,Ville_0703,2953
Ville_0703,Ville_0681,2712
Ville_0681,Ville_0051,2579
Ville_0051,Ville_0476,1156
Ville_0476,Ville_0103,2195
Ville_0103,Ville_0451,1182
Ville_0451,Ville_0822,1096
Ville_0822,Ville_0359,106
Ville_0359,Ville_0258,2422
Ville_0258,Ville_0419,2278
Ville_0419,Ville_0339,1224
Ville_0339,Ville_0242,1115
Ville_0242,Ville_0623,425
Ville_0623,Ville_0760,1590
Ville_0760,Ville_0940,736
Ville_0940,Ville_0009,1866
Ville_0009,Ville_0981,2194
Ville_0981,Ville_0363,1403
Ville_0363,Ville_0026,1928
Ville_0026,Ville_0135,324
Ville_0135,Ville_0293,2897
Ville_0293,Ville_0717,876
Ville_0717,Ville_0657,616
Ville_0657,Ville_0332,560
Ville_0332,Ville_0562,2519
Ville_0562,Ville_0646,2917
Ville_0646,Ville_0292,2583
Ville_0292,Ville_0494,51
Ville_0494,Ville_0591,645
Ville_0591,Ville_0776,2264
Ville_0776,Ville_0977,1640
Ville_0977,Ville_0664,585
Ville_0664,Ville_0871,1372
Ville_0871,Ville_0154,270
Ville_0154,Ville_0393,1234
Ville_0393,Ville_0722,1991
Ville_0722,Ville_0777,2851
Ville_0777,Ville_0480,766
Ville_0480,Ville_0916,2381
Ville_0916,Ville_0357,2711
Ville_0357,Ville_0117,168
Ville_0117,Ville_0185,904
Ville_0185,Ville_0012,2366
Ville_0012,Ville_0401,1351
Ville_0401,Ville_0834,1154
Ville_0834,Ville_0244,705
Ville_0244,Ville_0748,1097
Ville_0748,Ville_0566,221
Ville_0566,Ville_0989,2617
Ville_0989,Ville_0090,2104
Ville_0090,Ville_0364,935
Ville_0364,Ville_0092,479
Ville_0092,Ville_0168,2059
Ville_0168,Ville_0687,564
Ville_0687,Ville_0478,1301
Ville_0478,Ville_0294,1201
Ville_0294,Ville_0894,1347
Ville_0894,Ville_0813,1733
Ville_0813,Ville_0453,2232
Ville_0453,Ville_0326,2085
Ville_0326,Ville_0497,2245
Ville_0497,Ville_0466,1980
Ville_0466,Ville_0533,881
Ville_0533,Ville_0949,2528
Ville_0949,Ville_0605,680
Ville_0605,Ville_0991,325
Ville_0991,Ville_0534,1978
Ville_0534,Ville_0023,2227
Ville_0023,Ville_0659,2195
Ville_0659,Ville_0208,2947
Ville_0208,Ville_0085,2440
Ville_0085,Ville_0827,567
Ville_0827,Ville_0619,794
Ville_0619,Ville_0746,948
Ville_0746,Ville_0847,1250
Ville_0847,Ville_0732,1187
Ville_0732,Ville_0914,1241
Ville_0914,Ville_0257,2596
Ville_0257,Ville_0544,1171
Ville_0544,Ville_0467,1158
Ville_0467,Ville_0696,2623
Ville_0696,Ville_0011,174
Ville_0011,Ville_0959,2307
Ville_0959,Ville_0162,679
Ville_0162,Ville_0955,2115
Ville_0955,Ville_0654,1438
Ville_0654,Ville_0421,556
Ville_0421,Ville_0819,2077
Ville_0819,Ville_0335,1944
Ville_0335,Ville_0312,2360
Ville_0312,Ville_0879,1697
Ville_0879,Ville_0683,1727
Ville_0683,Ville_0665,590
Ville_0665,Ville_0796,1278
Ville_0796,Ville_0849,2529
Ville_0849,Ville_0087,1302
Ville_0087,Ville_0059,2279
Ville_0059,Ville_0016,2389
Ville_0016,Ville_0858,1241
Ville_0858,Ville_0862,2846
Ville_0862,Ville_0412,2377
Ville_0412,Ville_0915,1936
Ville_0915,Ville_0096,115
Ville_0096,Ville_0304,2337
Ville_0304,Ville_0308,1003
Ville_0308,Ville_0918,2135
Ville_0918,Ville_0713,130
Ville_0713,Ville_0381,1147
Ville_0381,Ville_0183,2758
Ville_0183,Ville_0349,836
Ville_0349,Ville_0491,2425
Ville_0491,Ville_0531,2847
Ville_0531,Ville_0789,630
Ville_0789,Ville_0630,2950
Ville_0630,Ville_0061,242
Ville_0061,Ville_0057,2868
Ville_0057,Ville_0842,1683
Ville_0842,Ville_0524,1262
Ville_0524,Ville_0602,189
Ville_0602,Ville_0225,2238
Ville_0225,Ville_0944,2182
Ville_0944,Ville_0557,562
Ville_0557,Ville_0785,2129
Ville_0785,Ville_0859,656
Ville_0859,Ville_0535,902
Ville_0535,Ville_0700,2405
Ville_0700,Ville_0590,653
Ville_0590,Ville_0403,1408
Ville_0403,Ville_0443,1543
Ville_0443,Ville_0939,360
Ville_0939,Ville_0974,1814
Ville_0974,Ville_0810,2431
Ville_0810,Ville_0628,197
Ville_0628,Ville_0203,1671
Ville_0203,Ville_0761,1601
Ville_0761,Ville_0763,73
Ville_0763,Ville_0666,2432
Ville_0666,Ville_0532,674
Ville_0532,Ville_0821,1134
Ville_0821,Ville_0898,1829
Ville_0898,Ville_0622,2194
Ville_0622,Ville_0684,415
Ville_0684,Ville_0237,2108
Ville_0237,Ville_0006,1388
Ville_0006,Ville_0904,967
Ville_0904,Ville_0537,949
Ville_0537,Ville_0698,2328
Ville_0698,Ville_0189,1789
Ville_0189,Ville_0461,2337
Ville_0461,Ville_0438,820
Ville_0438,Ville_0207,1547
Ville_0207,Ville_0519,2968
Ville_0519,Ville_0876,1111
Ville_0876,Ville_0429,183
Ville_0429,Ville_0885,1255
Ville_0885,Ville_0582,1542
Ville_0582,Ville_0268,1050
Ville_0268,Ville_0962,2223
Ville_0962,Ville_0394,730
Ville_0394,Ville_0614,227
Ville_0614,Ville_0342,1482
Ville_0342,Ville_0028,2809
Ville_0028,Ville_0013,585
Ville_0013,Ville_0863,781
Ville_0863,Ville_0516,2760
Ville_0516,Ville_0002,2150
Ville_0002,Ville_0604,2720
Ville_0604,Ville_0274,1069
Ville_0274,Ville_0697,1071
Ville_0697,Ville_0109,2994
Ville_0109,Ville_0575,2303
Ville_0575,Ville_0792,262
Ville_0792,Ville_0972,2885
Ville_0972,Ville_0021,1261
Ville_0021,Ville_0420,2634
Ville_0420,Ville_0512,1334
Ville_0512,Ville_0152,2239
Ville_0152,Ville_0523,2261
Ville_0523,Ville_0753,2148
Ville_0753,Ville_0470,183
Ville_0470,Ville_0956,2508
