City_1,City_2,Distance
Ville_0020,Ville_0008,2412
Ville_0008,Ville_0014,2794
Ville_0014,Ville_0018,1621
Ville_0018,Ville_0010,1081
Ville_0010,Ville_0004,1991
Ville_0004,Ville_0005,1871
Ville_0005,Ville_0015,481
Ville_0015,Ville_0002,2970
Ville_0002,Ville_0001,1759
Ville_0001,Ville_0012,2582
Ville_0012,Ville_0019,1334
Ville_0019,Ville_0007,1608
Ville_0007,Ville_0003,1719
Ville_0003,Ville_0016,1289
Ville_0016,Ville_0011,268
Ville_0011,Ville_0009,300
Ville_0009,Ville_0013,2042
Ville_0013,Ville_0006,958
Ville_0006,Ville_0017,71
Ville_0017,Ville_0020,1419
Ville_0012,Ville_0006,195
Ville_0020,Ville_0002,2352
Ville_0006,Ville_0003,2636
Ville_0017,Ville_0013,2913
Ville_0009,Ville_0014,267
Ville_0011,Ville_0010,612
Ville_0009,Ville_0018,73
Ville_0006,Ville_0014,2504
Ville_0005,Ville_0017,159
Ville_0019,Ville_0016,151
Ville_0008,Ville_0002,1952
Ville_0008,Ville_0004,2079
Ville_0003,Ville_0011,539
Ville_0014,Ville_0005,467
Ville_0007,Ville_0002,616
Ville_0020,Ville_0005,2037
Ville_0003,Ville_0018,2040
Ville_0013,Ville_0018,348
Ville_0015,Ville_0013,1429
Ville_0007,Ville_0018,2877
Ville_0012,Ville_0016,2045
Ville_0014,Ville_0004,2450
Ville_0010,Ville_0019,2327
Ville_0009,Ville_0006,649
Ville_0018,Ville_0001,1225
Ville_0004,Ville_0009,2214
Ville_0007,Ville_0020,1192
Ville_0019,Ville_0013,1381
Ville_0005,Ville_0013,411
Ville_0012,Ville_0013,1697
