Start_city,End_city,Distance
Ville_0052,Ville_1597,411
Ville_1597,Ville_1942,1618
Ville_1942,Ville_0555,2833
Ville_0555,Ville_0102,1705
Ville_0102,Ville_0637,2330
Ville_0637,Ville_1452,2710
Ville_1452,Ville_1724,2041
Ville_1724,Ville_1781,980
Ville_1781,Ville_1892,1027
Ville_1892,Ville_0761,651
Ville_0761,Ville_1538,1268
Ville_1538,Ville_0675,780
Ville_0675,Ville_0984,362
Ville_0984,Ville_1739,2979
Ville_1739,Ville_0239,98
Ville_0239,Ville_1604,1266
Ville_1604,Ville_0018,1673
Ville_0018,Ville_1321,335
Ville_1321,Ville_0870,2867
Ville_0870,Ville_0518,1977
Ville_0518,Ville_0229,2577
Ville_0229,Ville_1905,1321
Ville_1905,Ville_1131,2202
Ville_1131,Ville_1669,2036
Ville_1669,Ville_0045,719
Ville_0045,Ville_1306,332
Ville_1306,Ville_0220,1292
Ville_0220,Ville_0411,210
Ville_0411,Ville_0657,355
Ville_0657,Ville_1364,183
Ville_1364,Ville_1646,1177
Ville_1646,Ville_0838,87
Ville_0838,Ville_1377,2285
Ville_1377,Ville_1831,92
Ville_1831,Ville_0155,2799
Ville_0155,Ville_0249,854
Ville_0249,Ville_1596,1579
Ville_1596,Ville_0224,194
Ville_0224,Ville_1835,2823
Ville_1835,Ville_0676,188
Ville_0676,Ville_0262,288
Ville_0262,Ville_1485,2459
Ville_1485,Ville_0331,2725
Ville_0331,Ville_0009,2355
Ville_0009,Ville_0910,66
Ville_0910,Ville_1378,2652
Ville_1378,Ville_1554,1603
Ville_1554,Ville_0170,2645
Ville_0170,Ville_1687,624
Ville_1687,Ville_0911,616
Ville_0911,Ville_1818,1892
Ville_1818,Ville_0126,1460
Ville_0126,Ville_1243,1172
Ville_1243,Ville_1227,1434
Ville_1227,Ville_0269,2839
Ville_0269,Ville_0699,1743
Ville_0699,Ville_0584,2538
Ville_0584,Ville_1183,2720
Ville_1183,Ville_0738,2930
Ville_0738,Ville_0164,1784
Ville_0164,Ville_1986,682
Ville_1986,Ville_0878,2429
Ville_0878,Ville_1077,2013
