<<<<<<< HEAD
City_1,City_2,Distance
Ville_0028,Ville_0018,869
Ville_0018,Ville_0015,135
Ville_0015,Ville_0029,447
Ville_0029,Ville_0004,2917
Ville_0004,Ville_0003,1309
Ville_0003,Ville_0020,1388
Ville_0020,Ville_0026,2661
Ville_0026,Ville_0025,778
Ville_0025,Ville_0001,1911
Ville_0001,Ville_0030,737
Ville_0030,Ville_0007,2772
Ville_0007,Ville_0021,1287
Ville_0021,Ville_0016,1996
Ville_0016,Ville_0027,795
Ville_0027,Ville_0012,326
Ville_0012,Ville_0009,962
Ville_0009,Ville_0019,218
Ville_0019,Ville_0024,1166
Ville_0024,Ville_0022,299
Ville_0022,Ville_0008,413
Ville_0008,Ville_0017,2648
Ville_0017,Ville_0002,2490
Ville_0002,Ville_0013,1187
Ville_0013,Ville_0005,687
Ville_0005,Ville_0010,410
Ville_0010,Ville_0006,190
Ville_0006,Ville_0023,421
Ville_0023,Ville_0011,1631
Ville_0011,Ville_0014,214
Ville_0014,Ville_0028,371
Ville_0003,Ville_0013,1426
Ville_0004,Ville_0018,823
Ville_0026,Ville_0016,1415
Ville_0027,Ville_0014,56
Ville_0020,Ville_0012,1039
Ville_0009,Ville_0025,1386
Ville_0002,Ville_0007,2886
Ville_0008,Ville_0026,1468
Ville_0029,Ville_0017,2499
Ville_0017,Ville_0016,1449
Ville_0002,Ville_0021,196
Ville_0029,Ville_0001,1604
Ville_0024,Ville_0026,763
Ville_0016,Ville_0003,720
Ville_0007,Ville_0023,323
Ville_0023,Ville_0021,939
Ville_0019,Ville_0028,976
Ville_0021,Ville_0014,2643
Ville_0023,Ville_0004,112
Ville_0020,Ville_0021,1634
Ville_0020,Ville_0025,2950
Ville_0027,Ville_0019,1697
Ville_0015,Ville_0016,1794
Ville_0026,Ville_0015,453
Ville_0006,Ville_0018,1137
Ville_0021,Ville_0022,1852
Ville_0019,Ville_0011,999
Ville_0010,Ville_0021,437
Ville_0003,Ville_0023,2071
Ville_0019,Ville_0021,1371
Ville_0010,Ville_0014,1434
Ville_0004,Ville_0019,1449
Ville_0017,Ville_0005,881
Ville_0009,Ville_0017,694
Ville_0004,Ville_0005,2342
Ville_0017,Ville_0020,132
Ville_0018,Ville_0012,1898
Ville_0004,Ville_0011,734
Ville_0001,Ville_0023,1067
Ville_0009,Ville_0020,544
Ville_0023,Ville_0027,943
Ville_0011,Ville_0030,302
Ville_0007,Ville_0016,375
Ville_0015,Ville_0024,440
Ville_0025,Ville_0014,1618
=======
Start_city,End_city,Distance
Ville_0029,Ville_0018,126
Ville_0018,Ville_0026,618
Ville_0026,Ville_0009,688
Ville_0009,Ville_0011,271
Ville_0011,Ville_0020,770
Ville_0020,Ville_0019,1159
Ville_0019,Ville_0016,69
Ville_0016,Ville_0002,1146
Ville_0002,Ville_0030,1757
Ville_0030,Ville_0023,2370
Ville_0023,Ville_0007,1598
Ville_0007,Ville_0012,608
Ville_0012,Ville_0022,2988
Ville_0022,Ville_0005,1822
Ville_0005,Ville_0021,647
Ville_0021,Ville_0013,2695
Ville_0013,Ville_0004,1017
Ville_0004,Ville_0003,1096
Ville_0003,Ville_0025,2718
Ville_0025,Ville_0027,2834
Ville_0027,Ville_0014,2285
Ville_0014,Ville_0017,1088
Ville_0017,Ville_0028,427
Ville_0028,Ville_0001,1113
Ville_0001,Ville_0015,940
Ville_0015,Ville_0010,2604
Ville_0010,Ville_0006,418
Ville_0006,Ville_0008,495
Ville_0008,Ville_0024,2968
Ville_0024,Ville_0029,2058
Ville_0021,Ville_0014,1797
Ville_0015,Ville_0006,224
Ville_0007,Ville_0003,1859
Ville_0006,Ville_0021,2297
Ville_0028,Ville_0023,2253
Ville_0006,Ville_0003,1251
Ville_0030,Ville_0005,302
Ville_0008,Ville_0003,1748
Ville_0007,Ville_0001,1870
Ville_0007,Ville_0010,2943
Ville_0005,Ville_0003,2326
Ville_0029,Ville_0002,2595
Ville_0019,Ville_0008,2247
Ville_0018,Ville_0028,1408
Ville_0021,Ville_0030,2494
Ville_0016,Ville_0021,1458
Ville_0026,Ville_0019,848
Ville_0021,Ville_0009,218
Ville_0015,Ville_0014,2247
Ville_0016,Ville_0018,2443
Ville_0002,Ville_0027,1885
Ville_0025,Ville_0028,2462
Ville_0006,Ville_0019,2393
Ville_0022,Ville_0025,1826
Ville_0021,Ville_0001,2880
Ville_0004,Ville_0012,748
Ville_0028,Ville_0005,2169
Ville_0004,Ville_0019,1169
Ville_0028,Ville_0008,317
Ville_0013,Ville_0002,2059
Ville_0001,Ville_0030,310
Ville_0026,Ville_0022,1481
Ville_0004,Ville_0002,117
Ville_0022,Ville_0013,1300
Ville_0018,Ville_0021,2132
Ville_0023,Ville_0003,640
Ville_0002,Ville_0005,2009
Ville_0011,Ville_0010,1271
Ville_0019,Ville_0017,1383
Ville_0009,Ville_0019,826
Ville_0027,Ville_0019,749
Ville_0028,Ville_0012,1407
Ville_0021,Ville_0011,356
Ville_0029,Ville_0016,1378
Ville_0013,Ville_0005,2421
>>>>>>> 79c383ba7e9c3a3eb669268c41e111740dade76d
