Type, Name
Corrosive,Battery acid
Toxic,Insecticide
Radioactive,Medical isotope
Pressurized,Aerosol spray
Flammable,Lighter
Radioactive,Nuclear waste
Fragile,Wine glass
Food,Chicken
Unspecified,Sticker
Food,Yogurt
Food,Pasta
Radioactive,Cobalt-60
Toxic,Arsenic
Fragile,Vase
Toxic,Lead
Pressurized,Compressed gas cylinder
Fragile,Plate
Food,Apple
Unspecified,Book
Flammable,Candle
Fragile,Mirror
Corrosive,Sulfuric acid
Flammable,Aerosol spray
Flammable,Oil
Unspecified,Keychain
Food,Milk
Corrosive,Hydrochloric acid
Food,Canned food
Oxidizing,Potassium permanganate
Food,Bread
Explosive,Gunpowder
Pressurized,Fire extinguisher
Unspecified,Pen
Unspecified,Chair
Toxic,Asbestos
Flammable,Paint
Fragile,Porcelain
Radioactive,Plutonium
Fragile,Glass bottle
Unspecified,Toy car
Flammable,Matches
Radioactive,Uranium
Unspecified,Notebook
Food,Rice
Toxic,Pesticide
Unspecified,Backpack
Unspecified,Umbrella
Explosive,Firecracker
Corrosive,Caustic soda
Food,Cheese
Unspecified,Socks
Oxidizing,Liquid oxygen
Fragile,Light bulb
Oxidizing,Hydrogen peroxide
Corrosive,Nitric acid
Toxic,Cyanide
Explosive,Dynamite
Pressurized,Propane cylinder
Explosive,Detonator
Oxidizing,Ammonium nitrate
